Payment processed - AVN ID: 1, Aircraft ID: 1918977090, Type: t-101, Amount: $0.00, Time: Wed May  7 22:49:50 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $0.00, Time: Wed May  7 22:49:52 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $805000.00, Time: Wed May  7 22:49:54 2025
Payment processed - AVN ID: 1746640188, Aircraft ID: 0, Type: , Amount: $805000.00, Time: Wed May  7 22:49:56 2025
Payment processed - AVN ID: 2, Aircraft ID: 1164207430, Type: x-100, Amount: $0.00, Time: Wed May  7 22:50:10 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $0.00, Time: Wed May  7 22:50:12 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $805000.00, Time: Wed May  7 22:50:14 2025
Payment processed - AVN ID: 1746640208, Aircraft ID: 0, Type: , Amount: $805000.00, Time: Wed May  7 22:50:16 2025
Payment processed - AVN ID: 1, Aircraft ID: 1164207430, Type: x-101, Amount: $0.00, Time: Wed May  7 22:55:29 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $0.00, Time: Wed May  7 22:55:31 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $805000.00, Time: Wed May  7 22:55:33 2025
Payment processed - AVN ID: 1746640527, Aircraft ID: 0, Type: , Amount: $805000.00, Time: Wed May  7 22:55:36 2025
Payment processed - AVN ID: 2, Aircraft ID: 1114794305, Type: lue-100, Amount: $0.00, Time: Wed May  7 22:55:39 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $46517528653764442538829972937037514364037639606804125235583116235611977652919312286035224954247405219968442709019274340466201834293313358350915283612357020295785757066733713194961890536355859215155200.00, Time: Wed May  7 22:55:41 2025
Payment processed - AVN ID: 1, Aircraft ID: 1114794305, Type: lue-102, Amount: $0.00, Time: Wed May  7 23:09:51 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $46517528653764442538829972937037514364037639606804125235583116235611977652919312286035224954247405219968442709019274340466201834293313358350915283612357020295785757066733713194961890536355859215155200.00, Time: Wed May  7 23:09:53 2025
Payment processed - AVN ID: 27745, Aircraft ID: 0, Type: , Amount: $575000.00, Time: Wed May  7 23:09:55 2025
Payment processed - AVN ID: 1746641389, Aircraft ID: 0, Type: , Amount: $575000.00, Time: Wed May  7 23:09:57 2025
Payment processed - AVN ID: 2, Aircraft ID: 1114794305, Type: lue-101, Amount: $0.00, Time: Wed May  7 23:10:01 2025
Payment processed - AVN ID: 0, Aircraft ID: 0, Type: , Amount: $46517528653764442538829972937037514364037639606804125235583116235611977652919312286035224954247405219968442709019274340466201834293313358350915283612357020295785757066733713194961890536355859215155200.00, Time: Wed May  7 23:10:03 2025
