AVN ID: 1, Aircraft ID: AirBlue-101, Airline: AirBlue, Flight: AirBlue-101, Type: Commercial, Recorded Speed: 35.00, Allowed Speed: 30.00, Fine: $500.00, Timestamp: Wed May  7 20:15:52 2025
AVN ID: 2, Aircraft ID: PIA-102, Airline: PIA, Flight: PIA-102, Type: Commercial, Recorded Speed: 476.00, Allowed Speed: 463.00, Fine: $1300.00, Timestamp: Wed May  7 20:16:02 2025
AVN ID: 3, Aircraft ID: AK Amb-100, Airline: AK Amb, Flight: AK Amb-100, Type: Emergency, Recorded Speed: 12.00, Allowed Speed: 5.00, Fine: $700.00, Timestamp: Wed May  7 20:16:17 2025
AVN ID: 1, Aircraft ID: AirBlue-102, Airline: AirBlue, Flight: AirBlue-102, Type: Commercial, Recorded Speed: 303.00, Allowed Speed: 290.00, Fine: $575000.00, Timestamp: Wed May  7 20:37:11 2025
AVN ID: 2, Aircraft ID: AirBlue-100, Airline: AirBlue, Flight: AirBlue-100, Type: Commercial, Recorded Speed: 12.00, Allowed Speed: 5.00, Fine: $575000.00, Timestamp: Wed May  7 20:37:36 2025
AVN ID: 3, Aircraft ID: AirBlue-103, Airline: AirBlue, Flight: AirBlue-103, Type: Commercial, Recorded Speed: 12.00, Allowed Speed: 5.00, Fine: $575000.00, Timestamp: Wed May  7 20:37:46 2025
AVN ID: 1, Aircraft ID: PIA-100, Airline: PIA, Flight: PIA-100, Type: Commercial, Recorded Speed: 258.00, Allowed Speed: 240.00, Fine: $575000.00, Timestamp: Wed May  7 20:43:09 2025
AVN ID: 1, Aircraft ID: AK Amb-100, Airline: AK Amb, Flight: AK Amb-100, Type: Emergency, Recorded Speed: 35.00, Allowed Speed: 30.00, Fine: $115000.00, Timestamp: Wed May  7 20:44:17 2025
AVN ID: 2, Aircraft ID: FedEx-101, Airline: FedEx, Flight: FedEx-101, Type: Cargo, Recorded Speed: 474.00, Allowed Speed: 463.00, Fine: $805000.00, Timestamp: Wed May  7 20:44:32 2025
AVN ID: 1, Aircraft ID: PIA-100, Airline: PIA, Flight: PIA-100, Type: Commercial, Recorded Speed: 330.00, Allowed Speed: 290.00, Fine: $575000.00, Timestamp: Wed May  7 20:45:49 2025
AVN ID: 1, Aircraft ID: PIA-102, Airline: PIA, Flight: PIA-102, Type: Commercial, Recorded Speed: 264.00, Allowed Speed: 240.00, Fine: $575000.00, Timestamp: Wed May  7 20:54:30 2025
AVN ID: 2, Aircraft ID: AK Amb-100, Airline: AK Amb, Flight: AK Amb-100, Type: Emergency, Recorded Speed: 788.00, Allowed Speed: 900.00, Fine: $115000.00, Timestamp: Wed May  7 20:54:40 2025
AVN ID: 1, Aircraft ID: PIA-101, Airline: PIA, Flight: PIA-101, Type: Commercial, Recorded Speed: 12.00, Allowed Speed: 5.00, Fine: $575000.00, Timestamp: Wed May  7 21:02:54 2025
AVN ID: 1, Aircraft ID: PIA-101, Airline: PIA, Flight: PIA-101, Type: Commercial, Recorded Speed: 35.00, Allowed Speed: 30.00, Fine: $575000.00, Timestamp: Wed May  7 21:04:48 2025
